Nom du graphe,Score Xgboost,Temps Xgboost,Score Adaboost,Temps Adaboost
Spd_RF2_600_637_5235.txt,201,4.8,200,14.8
Spd_RF2_700_821_5523.txt,218,7.19,230,17.89
Spd_RF2_900_1124_5995.txt,273,11.53,298,28.21
Spd_RF2_700_821_5515.txt,219,6.75,232,17.16
Spd_RF2_900_989_5851.txt,299,11.1,299,24.11
Spd_RF2_700_861_5547.txt,220,7.63,228,18.43
Spd_RF2_600_637_5219.txt,199,4.52,200,12.5
Spd_RF2_1000_1047_6035.txt,329,13.03,331,24.88
Spd_RF2_600_787_5403.txt,193,5.23,196,15.49
Spd_RF2_700_902_5603.txt,214,7.31,229,20.35
Spd_RF2_800_843_5635.txt,262,8.15,267,20.69
Spd_RF2_800_973_5763.txt,251,8.87,262,20.82
Spd_RF2_600_674_5259.txt,189,4.57,190,13.98
Spd_RF2_600_749_5363.txt,188,4.98,198,14.79
Spd_RF2_1000_1143_6099.txt,321,14.77,325,30.02
Spd_RF2_800_930_5707.txt,250,10.15,260,22.83
Spd_RF2_800_1017_5795.txt,238,8.95,265,24.25
Spd_RF2_1000_1191_6139.txt,318,14.6,315,30.1
Spd_RF2_800_973_5739.txt,250,9.16,264,21.45
Spd_RF2_800_843_5643.txt,263,8.24,265,18.23
Spd_RF2_700_902_5587.txt,221,6.78,225,17.69
Spd_RF2_900_1124_5971.txt,282,11.82,297,27.83
Spd_RF2_800_886_5675.txt,258,8.24,264,19.36
Spd_RF2_700_780_5459.txt,221,6.21,227,15.87
Spd_RF2_900_1034_5899.txt,284,12.17,300,24.92
Spd_RF2_800_1017_5779.txt,253,10.29,253,26.16
Spd_RF2_700_780_5467.txt,226,7.28,231,17.37
Spd_RF2_900_944_5811.txt,300,10.38,298,22.29
Spd_RF2_800_930_5715.txt,257,9.34,261,20.99
Spd_RF2_800_886_5683.txt,261,8.72,264,19.53
Spd_RF2_800_886_5651.txt,258,8.7,262,19.73
Spd_RF2_800_843_5619.txt,261,7.63,267,17.98
Spd_RF2_600_674_5251.txt,190,4.86,198,13.55
Spd_RF2_900_1034_5891.txt,284,10.27,295,22.72
Spd_RF2_900_989_5867.txt,295,9.82,298,22.86
Spd_RF2_700_740_5419.txt,231,6.07,229,15.75
Spd_RF2_1000_1239_6195.txt,315,13.44,328,29.41
Spd_RF2_900_1034_5907.txt,288,11.3,295,23.32
Spd_RF2_700_902_5571.txt,220,7.29,223,19.43
Spd_RF2_1000_1047_6019.txt,328,13.66,328,25.46
Spd_RF2_1000_1143_6123.txt,329,14.44,329,30.14
Spd_RF2_800_973_5747.txt,253,9.43,268,23.39
Spd_RF2_700_861_5539.txt,216,7.78,229,19.18
Spd_RF2_700_861_5563.txt,214,7.25,227,18.65
Spd_RF2_800_886_5659.txt,256,9.99,261,26.38
