Nom du graphe,Score Cycle,Temps Cycle,Score Xgboost,Temps Xgboost
Spd_RF2_450_548_4923.txt,-1,-1,115,3.15
Spd_RF2_500_672_5171.txt,-1,-1,122,5.84
Spd_RF2_250_297_4075.txt,-1,-1,69,1.77
Spd_RF2_100_159_1955.txt,-1,-1,21,0.66
Spd_RF2_40_50_611.txt,8.0,8.53,13,0.14
Spd_RF2_140_229_2771.txt,-1,-1,26,0.97
Spd_RF2_200_289_3955.txt,-1,-1,47,1.33
Spd_RF2_160_179_3027.txt,-1,-1,48,0.85
Spd_RF2_180_242_3507.txt,29.0,101.03,38,0.92
Spd_RF2_400_549_4779.txt,-1,-1,87,3.31
Spd_RF2_20_57_379.txt,0.0,2.15,5,0.09
Spd_RF2_200_312_3995.txt,-1,-1,47,1.2
Spd_RF2_250_345_4155.txt,-1,-1,60,1.5
Spd_RF2_350_435_4523.txt,-1,-1,87,2.48
Spd_RF2_140_193_2715.txt,22.0,63.3,39,0.68
Spd_RF2_20_34_267.txt,1.0,1.17,3,0.05
Spd_RF2_20_27_219.txt,2.0,1.19,4,0.05
Spd_RF2_160_179_3019.txt,41.0,119.64,47,0.68
Spd_RF2_250_273_4043.txt,68.0,106.4,72,1.29
Spd_RF2_60_119_1187.txt,3.0,11.13,13,0.29
Spd_RF2_40_50_619.txt,7.0,4.56,9,0.11
Spd_RF2_180_200_3427.txt,48.0,85.91,55,0.78
Spd_RF2_140_175_2651.txt,26.0,46.12,35,0.62
Spd_RF2_20_42_323.txt,0.0,1.09,3,0.06
Spd_RF2_60_107_1131.txt,4.0,11.79,11,0.28
Spd_RF2_350_378_4435.txt,-1,-1,102,2.13
Spd_RF2_100_114_1811.txt,-1,-1,32,0.39
Spd_RF2_140_193_2723.txt,-1,-1,33,0.68
Spd_RF2_400_489_4707.txt,-1,-1,102,2.83
Spd_RF2_350_492_4571.txt,-1,-1,79,2.58
Spd_RF2_160_257_3179.txt,-1,-1,45,0.83
Spd_RF2_400_549_4803.txt,-1,-1,90,3.11
Spd_RF2_80_147_1579.txt,-1,-1,17,0.42
Spd_RF2_80_133_1547.txt,6.0,19.99,13,0.36
Spd_RF2_40_71_707.txt,2.0,4.56,8,0.14
Spd_RF2_120_136_2243.txt,-1,-1,35,0.44
Spd_RF2_120_169_2307.txt,-1,-1,30,0.52
Spd_RF2_300_407_4347.txt,-1,-1,74,1.82
Spd_RF2_300_434_4371.txt,-1,-1,74,1.89
Spd_RF2_40_71_715.txt,3.0,8.62,8,0.14
Spd_RF2_250_297_4067.txt,-1,-1,61,1.23
Spd_RF2_120_185_2339.txt,-1,-1,27,0.54
Spd_RF2_250_345_4131.txt,-1,-1,60,1.38
Spd_RF2_100_114_1843.txt,25.0,35.49,27,0.37
Spd_RF2_400_489_4723.txt,-1,-1,101,2.94
Spd_RF2_60_95_1099.txt,7.0,14.14,13,0.25
Spd_RF2_200_289_3963.txt,-1,-1,46,1.05
Spd_RF2_40_81_763.txt,2.0,10.7,10,0.15
Spd_RF2_100_144_1923.txt,16.0,40.11,26,0.46
Spd_RF2_60_119_1171.txt,3.0,13.89,12,0.28
