Nom du graphe,Score Flot,Temps Flot
Spd_RF2_1000_1047_6011.txt,312.0,120.86
Spd_RF2_1000_1047_6019.txt,312.0,120.62
Spd_RF2_1000_1047_6027.txt,313.0,120.65
Spd_RF2_1000_1047_6035.txt,313.0,120.71
Spd_RF2_1000_1047_6043.txt,313.0,120.75
Spd_RF2_1000_1095_6051.txt,293.0,120.76
Spd_RF2_1000_1095_6059.txt,294.0,120.76
Spd_RF2_1000_1095_6067.txt,294.0,120.71
Spd_RF2_1000_1095_6075.txt,292.0,120.81
Spd_RF2_1000_1095_6083.txt,291.0,120.78
Spd_RF2_1000_1143_6091.txt,278.0,120.81
Spd_RF2_1000_1143_6099.txt,273.0,120.8
Spd_RF2_1000_1143_6107.txt,277.0,120.76
Spd_RF2_1000_1143_6115.txt,275.0,120.8
Spd_RF2_1000_1143_6123.txt,271.0,120.83
Spd_RF2_1000_1191_6131.txt,258.0,121.0
Spd_RF2_1000_1191_6139.txt,254.0,120.84
Spd_RF2_1000_1191_6147.txt,255.0,120.84
Spd_RF2_1000_1191_6155.txt,261.0,120.85
Spd_RF2_1000_1191_6163.txt,258.0,120.83
Spd_RF2_1000_1239_6171.txt,241.0,120.82
Spd_RF2_1000_1239_6179.txt,243.0,120.79
Spd_RF2_1000_1239_6187.txt,237.0,120.83
Spd_RF2_1000_1239_6195.txt,245.0,120.84
Spd_RF2_1000_1239_6203.txt,248.0,120.78
Spd_RF2_600_637_5211.txt,184.0,120.58
Spd_RF2_600_637_5219.txt,184.0,13.79
Spd_RF2_600_637_5227.txt,184.0,30.84
Spd_RF2_600_637_5235.txt,184.0,3.79
Spd_RF2_600_637_5243.txt,183.0,11.93
Spd_RF2_600_674_5251.txt,168.0,120.47
Spd_RF2_600_674_5259.txt,167.0,120.55
Spd_RF2_600_674_5267.txt,169.0,44.99
Spd_RF2_600_674_5275.txt,167.0,19.86
Spd_RF2_600_674_5283.txt,169.0,120.44
Spd_RF2_600_712_5291.txt,153.0,120.6
Spd_RF2_600_712_5299.txt,153.0,120.57
Spd_RF2_600_712_5307.txt,151.0,120.59
Spd_RF2_600_712_5315.txt,151.0,120.49
Spd_RF2_600_712_5323.txt,150.0,120.54
Spd_RF2_600_749_5331.txt,139.0,120.52
Spd_RF2_600_749_5339.txt,138.0,120.73
Spd_RF2_600_749_5347.txt,139.0,67.46
Spd_RF2_600_749_5355.txt,143.0,120.52
Spd_RF2_600_749_5363.txt,140.0,120.57
Spd_RF2_600_787_5371.txt,128.0,120.55
Spd_RF2_600_787_5379.txt,124.0,120.59
Spd_RF2_600_787_5387.txt,128.0,120.52
Spd_RF2_600_787_5395.txt,130.0,120.59
Spd_RF2_600_787_5403.txt,128.0,45.7
Spd_RF2_700_740_5411.txt,215.0,39.03
Spd_RF2_700_740_5419.txt,214.0,30.58
Spd_RF2_700_740_5427.txt,215.0,21.93
Spd_RF2_700_740_5435.txt,214.0,92.22
Spd_RF2_700_740_5443.txt,214.0,17.06
Spd_RF2_700_780_5451.txt,200.0,120.63
