Nom du graphe,Score Flot,Temps Flot,Score MultiFlot,Temps MultiFlot,Score Martin,Temps Martin
Spd_RF2_100_114_1811.txt,26.0,0.17,26.0,3.62,26.0,16.82
Spd_RF2_100_114_1819.txt,23.0,0.19,23.0,3.48,23.0,12.14
Spd_RF2_100_114_1827.txt,23.0,0.14,23.0,3.72,23.0,19.3
Spd_RF2_100_114_1835.txt,23.0,0.2,23.0,3.73,23.0,15.23
Spd_RF2_100_114_1843.txt,24.0,0.34,24.0,4.5,24.0,21.19
Spd_RF2_100_129_1851.txt,18.0,0.6,18.0,14.58,20.0,62.37
Spd_RF2_100_129_1859.txt,16.0,0.47,16.0,11.27,19.0,62.33
Spd_RF2_100_129_1867.txt,17.0,0.6,17.0,11.05,17.0,60.56
Spd_RF2_100_129_1875.txt,16.0,0.25,16.0,15.61,17.0,62.36
Spd_RF2_100_129_1883.txt,15.0,0.6,15.0,7.86,15.0,40.44
Spd_RF2_100_144_1891.txt,12.0,1.06,13.0,64.02,28.0,62.48
Spd_RF2_100_144_1899.txt,11.0,1.31,12.0,64.01,16.0,62.66
Spd_RF2_100_144_1907.txt,14.0,0.71,14.0,18.38,17.0,62.48
Spd_RF2_100_144_1915.txt,9.0,0.99,9.0,50.2,24.0,62.69
Spd_RF2_100_144_1923.txt,13.0,0.85,13.0,36.47,15.0,62.51
Spd_RF2_100_159_1931.txt,8.0,1.04,19.0,64.46,28.0,63.11
Spd_RF2_100_159_1939.txt,9.0,1.3,12.0,64.43,12.0,62.89
Spd_RF2_100_159_1947.txt,7.0,3.37,8.0,64.49,28.0,62.62
Spd_RF2_100_159_1955.txt,8.0,1.6,11.0,64.36,11.0,62.77
Spd_RF2_100_159_1963.txt,10.0,0.85,12.0,64.43,13.0,62.84
Spd_RF2_100_174_1971.txt,6.0,2.43,8.0,64.6,8.0,62.92
Spd_RF2_100_174_1979.txt,6.0,4.56,8.0,64.69,22.0,63.3
Spd_RF2_100_174_1987.txt,8.0,1.4,14.0,64.87,26.0,62.81
Spd_RF2_100_174_1995.txt,7.0,2.07,7.0,64.76,8.0,63.0
Spd_RF2_100_174_2003.txt,4.0,2.61,7.0,64.67,26.0,62.92
Spd_RF2_120_136_2211.txt,30.0,0.31,30.0,5.53,30.0,24.31
Spd_RF2_120_136_2219.txt,29.0,0.24,29.0,5.05,29.0,23.37
Spd_RF2_120_136_2227.txt,29.0,0.23,29.0,5.85,29.0,23.23
Spd_RF2_120_136_2235.txt,30.0,0.25,30.0,7.81,30.0,52.23
Spd_RF2_120_136_2243.txt,30.0,0.3,30.0,5.86,30.0,20.13
Spd_RF2_120_152_2251.txt,21.0,0.36,21.0,16.44,24.0,63.36
Spd_RF2_120_152_2259.txt,22.0,0.51,22.0,9.46,25.0,63.41
Spd_RF2_120_152_2267.txt,22.0,0.58,22.0,19.21,23.0,63.27
Spd_RF2_120_152_2275.txt,21.0,0.42,21.0,23.04,23.0,63.43
Spd_RF2_120_152_2283.txt,23.0,0.33,23.0,8.4,25.0,63.22
Spd_RF2_120_169_2291.txt,17.0,1.27,17.0,66.12,21.0,63.95
Spd_RF2_120_169_2299.txt,16.0,1.49,17.0,65.59,34.0,63.69
Spd_RF2_120_169_2307.txt,14.0,1.26,14.0,65.84,16.0,64.06
Spd_RF2_120_169_2315.txt,17.0,5.49,19.0,65.81,21.0,63.72
Spd_RF2_120_169_2323.txt,16.0,1.42,16.0,25.39,22.0,63.67
Spd_RF2_120_185_2331.txt,11.0,5.04,15.0,66.13,34.0,63.96
Spd_RF2_120_185_2339.txt,12.0,3.45,25.0,66.15,36.0,63.9
Spd_RF2_120_185_2347.txt,13.0,1.37,17.0,66.34,15.0,64.21
Spd_RF2_120_185_2355.txt,10.0,1.99,15.0,125.55,27.0,63.7
Spd_RF2_120_185_2363.txt,12.0,1.73,14.0,66.34,30.0,63.69
Spd_RF2_120_202_2371.txt,7.0,6.03,30.0,66.67,32.0,63.76
Spd_RF2_120_202_2379.txt,12.0,1.8,15.0,66.73,34.0,64.09
Spd_RF2_120_202_2387.txt,8.0,3.71,31.0,67.47,35.0,64.0
Spd_RF2_120_202_2395.txt,7.0,4.99,11.0,66.68,32.0,63.8
Spd_RF2_120_202_2403.txt,9.0,3.84,11.0,66.75,35.0,64.01
Spd_RF2_140_157_2611.txt,35.0,0.3,35.0,7.92,35.0,64.17
Spd_RF2_140_157_2619.txt,34.0,0.25,34.0,7.53,36.0,64.37
Spd_RF2_140_157_2627.txt,35.0,0.37,35.0,16.12,37.0,64.8
Spd_RF2_140_157_2635.txt,34.0,0.42,34.0,8.98,34.0,62.69
Spd_RF2_140_157_2643.txt,33.0,0.25,33.0,9.15,33.0,55.42
Spd_RF2_140_175_2651.txt,24.0,0.62,24.0,22.18,30.0,64.7
Spd_RF2_140_175_2659.txt,27.0,1.0,27.0,44.84,31.0,64.89
Spd_RF2_140_175_2667.txt,26.0,2.08,26.0,67.17,31.0,64.97
Spd_RF2_140_175_2675.txt,25.0,1.43,26.0,67.7,39.0,64.78
Spd_RF2_140_175_2683.txt,27.0,0.39,27.0,17.26,30.0,64.94
Spd_RF2_140_193_2691.txt,18.0,0.85,23.0,67.6,20.0,64.86
Spd_RF2_140_193_2699.txt,18.0,10.55,21.0,67.57,44.0,64.95
Spd_RF2_140_193_2707.txt,19.0,1.16,20.0,67.35,39.0,65.0
Spd_RF2_140_193_2715.txt,20.0,2.44,22.0,67.25,41.0,64.95
Spd_RF2_140_193_2723.txt,19.0,3.27,22.0,67.77,23.0,64.97
Spd_RF2_140_211_2731.txt,14.0,0.92,36.0,68.28,24.0,65.38
Spd_RF2_140_211_2739.txt,17.0,14.39,20.0,68.22,45.0,65.37
Spd_RF2_140_211_2747.txt,16.0,1.98,16.0,68.33,36.0,65.74
Spd_RF2_140_211_2755.txt,14.0,0.97,31.0,68.74,35.0,65.25
Spd_RF2_140_211_2763.txt,15.0,4.32,,125.44,20.0,65.09
Spd_RF2_140_229_2771.txt,10.0,10.07,27.0,68.88,39.0,65.75
Spd_RF2_140_229_2779.txt,9.0,15.26,37.0,69.03,40.0,65.39
Spd_RF2_140_229_2787.txt,11.0,6.68,14.0,69.02,37.0,65.72
Spd_RF2_140_229_2795.txt,11.0,7.45,25.0,69.02,36.0,65.26
Spd_RF2_140_229_2803.txt,12.0,8.79,37.0,69.06,16.0,65.77
Spd_RF2_160_179_3011.txt,39.0,0.37,39.0,15.9,41.0,65.93
Spd_RF2_160_179_3019.txt,39.0,0.73,39.0,14.69,41.0,65.99
Spd_RF2_160_179_3027.txt,41.0,0.59,41.0,20.76,46.0,66.13
Spd_RF2_160_179_3035.txt,40.0,0.4,40.0,13.76,42.0,65.87
Spd_RF2_160_179_3043.txt,40.0,0.26,40.0,9.57,43.0,65.45
Spd_RF2_160_198_3051.txt,32.0,0.61,32.0,31.12,50.0,66.0
Spd_RF2_160_198_3059.txt,29.0,3.15,29.0,69.26,35.0,66.04
Spd_RF2_160_198_3067.txt,32.0,1.31,41.0,68.99,38.0,66.59
Spd_RF2_160_198_3075.txt,31.0,3.58,33.0,69.47,48.0,66.14
Spd_RF2_160_198_3083.txt,32.0,2.05,34.0,69.4,38.0,66.12
Spd_RF2_160_218_3091.txt,22.0,1.97,35.0,69.64,50.0,66.38
Spd_RF2_160_218_3099.txt,25.0,1.54,45.0,69.79,48.0,66.47
Spd_RF2_160_218_3107.txt,21.0,4.21,23.0,69.88,25.0,67.15
Spd_RF2_160_218_3115.txt,24.0,1.65,39.0,69.59,45.0,66.6
Spd_RF2_160_218_3123.txt,25.0,1.11,27.0,69.91,31.0,66.39
Spd_RF2_160_237_3131.txt,20.0,20.22,41.0,70.69,51.0,66.86
Spd_RF2_160_237_3139.txt,16.0,8.31,24.0,70.84,48.0,66.77
Spd_RF2_160_237_3147.txt,17.0,6.86,46.0,70.94,43.0,66.72
Spd_RF2_160_237_3155.txt,16.0,23.1,23.0,70.9,44.0,66.99
Spd_RF2_160_237_3163.txt,18.0,3.31,38.0,70.74,24.0,66.9
Spd_RF2_160_257_3171.txt,16.0,4.45,39.0,71.35,21.0,67.32
Spd_RF2_160_257_3179.txt,13.0,6.26,46.0,71.62,18.0,66.95
Spd_RF2_160_257_3187.txt,12.0,31.48,34.0,71.42,16.0,67.26
Spd_RF2_160_257_3195.txt,13.0,5.01,18.0,71.44,51.0,67.03
Spd_RF2_160_257_3203.txt,13.0,3.84,,127.36,46.0,67.11
Spd_RF2_180_200_3411.txt,47.0,0.41,47.0,13.48,48.0,67.47
Spd_RF2_180_200_3419.txt,47.0,0.51,47.0,15.18,59.0,67.7
Spd_RF2_180_200_3427.txt,47.0,0.48,47.0,17.61,47.0,67.47
Spd_RF2_180_200_3435.txt,46.0,0.31,46.0,26.4,54.0,67.44
Spd_RF2_180_200_3443.txt,45.0,0.59,45.0,32.98,47.0,67.7
Spd_RF2_180_221_3451.txt,33.0,1.59,35.0,71.94,40.0,67.69
Spd_RF2_180_221_3459.txt,36.0,10.91,39.0,71.46,51.0,68.15
Spd_RF2_180_221_3467.txt,34.0,0.81,34.0,29.58,54.0,67.55
Spd_RF2_180_221_3475.txt,35.0,2.85,38.0,71.43,53.0,67.94
Spd_RF2_180_221_3483.txt,37.0,0.83,41.0,72.97,54.0,69.66
Spd_RF2_180_242_3491.txt,25.0,3.48,41.0,72.56,57.0,68.26
Spd_RF2_180_242_3499.txt,26.0,16.86,43.0,72.31,56.0,68.31
Spd_RF2_180_242_3507.txt,26.0,2.02,45.0,72.02,32.0,68.46
Spd_RF2_180_242_3515.txt,25.0,1.44,50.0,72.34,47.0,68.08
Spd_RF2_180_242_3523.txt,25.0,2.67,26.0,72.03,49.0,68.53
Spd_RF2_180_263_3531.txt,19.0,33.67,,128.63,53.0,68.49
Spd_RF2_180_263_3539.txt,21.0,1.54,22.0,72.86,49.0,69.02
Spd_RF2_180_263_3547.txt,21.0,6.94,120.0,73.17,53.0,68.49
Spd_RF2_180_263_3555.txt,21.0,6.34,,128.74,48.0,68.57
Spd_RF2_180_263_3563.txt,23.0,5.31,24.0,72.72,29.0,68.81
Spd_RF2_180_284_3571.txt,16.0,37.51,52.0,74.2,57.0,69.65
Spd_RF2_180_284_3579.txt,17.0,55.76,44.0,73.92,49.0,69.08
Spd_RF2_180_284_3587.txt,15.0,34.29,,129.22,57.0,69.01
Spd_RF2_180_284_3595.txt,20.0,8.62,30.0,74.54,53.0,68.72
Spd_RF2_180_284_3603.txt,20.0,4.98,47.0,74.35,50.0,68.98
Spd_RF2_200_222_3811.txt,51.0,0.28,51.0,14.89,53.0,69.22
Spd_RF2_200_222_3819.txt,50.0,0.47,50.0,13.53,53.0,69.55
Spd_RF2_200_222_3827.txt,50.0,0.71,50.0,59.24,62.0,69.48
Spd_RF2_200_222_3835.txt,51.0,0.54,51.0,39.56,53.0,69.79
Spd_RF2_200_222_3843.txt,51.0,0.58,51.0,23.74,52.0,69.39
Spd_RF2_200_244_3851.txt,40.0,2.71,55.0,73.58,49.0,69.74
Spd_RF2_200_244_3859.txt,42.0,1.43,59.0,73.84,61.0,70.0
Spd_RF2_200_244_3867.txt,39.0,0.97,39.0,73.56,61.0,70.09
Spd_RF2_200_244_3875.txt,37.0,1.12,40.0,73.63,61.0,70.38
Spd_RF2_200_244_3883.txt,39.0,2.2,41.0,73.68,59.0,69.92
Spd_RF2_200_267_3891.txt,31.0,4.45,44.0,75.07,35.0,70.34
Spd_RF2_200_267_3899.txt,30.0,16.82,52.0,74.98,61.0,70.08
Spd_RF2_200_267_3907.txt,30.0,0.98,,129.34,60.0,70.25
Spd_RF2_200_267_3915.txt,30.0,6.57,54.0,75.0,41.0,70.21
Spd_RF2_200_267_3923.txt,31.0,3.8,33.0,75.15,39.0,70.53
Spd_RF2_200_289_3931.txt,23.0,7.59,,130.75,53.0,70.71
Spd_RF2_200_289_3939.txt,25.0,11.8,,130.8,57.0,70.56
Spd_RF2_200_289_3947.txt,25.0,7.93,,130.63,56.0,70.69
Spd_RF2_200_289_3955.txt,26.0,7.51,50.0,75.33,59.0,70.69
Spd_RF2_200_289_3963.txt,25.0,6.64,30.0,76.41,56.0,70.95
Spd_RF2_200_312_3971.txt,18.0,19.39,56.0,77.24,58.0,71.52
Spd_RF2_200_312_3979.txt,16.0,47.7,19.0,77.38,53.0,71.31
Spd_RF2_200_312_3987.txt,19.0,60.06,53.0,78.06,51.0,71.42
Spd_RF2_200_312_3995.txt,17.0,32.48,,131.38,64.0,71.48
Spd_RF2_200_312_4003.txt,20.0,41.88,49.0,77.09,61.0,71.54
Spd_RF2_20_27_211.txt,1.0,0.08,1.0,0.24,1.0,0.18
Spd_RF2_20_27_219.txt,2.0,0.06,2.0,0.2,2.0,0.17
Spd_RF2_20_27_227.txt,2.0,0.07,2.0,0.19,2.0,0.17
Spd_RF2_20_27_235.txt,3.0,0.07,3.0,0.19,3.0,0.25
Spd_RF2_20_27_243.txt,4.0,0.06,4.0,0.2,4.0,0.21
Spd_RF2_20_34_251.txt,1.0,0.08,1.0,0.29,1.0,0.28
Spd_RF2_20_34_259.txt,1.0,0.08,1.0,0.25,1.0,0.19
Spd_RF2_20_34_267.txt,1.0,0.08,1.0,0.25,1.0,0.21
Spd_RF2_20_34_275.txt,2.0,0.09,2.0,0.29,2.0,0.27
Spd_RF2_20_34_283.txt,1.0,0.08,1.0,0.29,1.0,0.3
Spd_RF2_20_42_291.txt,1.0,0.12,1.0,0.44,1.0,0.43
Spd_RF2_20_42_299.txt,0.0,0.12,0.0,0.38,0.0,0.31
Spd_RF2_20_42_307.txt,0.0,0.12,0.0,0.41,0.0,0.41
Spd_RF2_20_42_315.txt,0.0,0.11,0.0,0.41,0.0,0.61
Spd_RF2_20_42_323.txt,0.0,0.12,0.0,0.43,0.0,0.66
Spd_RF2_20_49_331.txt,0.0,0.11,0.0,0.51,0.0,1.09
Spd_RF2_20_49_339.txt,0.0,0.11,0.0,0.56,0.0,1.02
Spd_RF2_20_49_347.txt,0.0,0.14,0.0,0.58,0.0,1.2
Spd_RF2_20_49_355.txt,0.0,0.13,0.0,0.61,0.0,1.66
Spd_RF2_20_49_363.txt,0.0,0.1,0.0,0.55,0.0,2.31
Spd_RF2_20_57_371.txt,0.0,0.13,0.0,0.71,0.0,1.08
Spd_RF2_20_57_379.txt,0.0,0.15,0.0,0.65,0.0,3.66
Spd_RF2_20_57_387.txt,0.0,0.17,0.0,0.57,0.0,2.24
Spd_RF2_20_57_395.txt,0.0,0.12,0.0,0.68,0.0,4.52
Spd_RF2_20_57_403.txt,0.0,0.18,0.0,0.98,0.0,1.45
Spd_RF2_250_273_4011.txt,67.0,0.9,68.0,79.78,80.0,75.47
Spd_RF2_250_273_4019.txt,65.0,0.52,65.0,44.21,80.0,75.41
Spd_RF2_250_273_4027.txt,66.0,1.16,66.0,63.7,80.0,75.31
Spd_RF2_250_273_4035.txt,66.0,0.85,66.0,51.31,80.0,75.84
Spd_RF2_250_273_4043.txt,66.0,0.72,66.0,79.09,78.0,75.39
Spd_RF2_250_297_4051.txt,51.0,5.65,70.0,80.52,76.0,75.91
Spd_RF2_250_297_4059.txt,55.0,8.27,59.0,81.31,76.0,76.4
Spd_RF2_250_297_4067.txt,51.0,2.49,73.0,80.75,75.0,76.28
Spd_RF2_250_297_4075.txt,55.0,9.04,59.0,140.06,77.0,76.02
Spd_RF2_250_297_4083.txt,53.0,5.47,70.0,80.74,61.0,76.2
Spd_RF2_250_321_4091.txt,44.0,12.19,76.0,82.64,72.0,77.04
Spd_RF2_250_321_4099.txt,43.0,15.05,74.0,82.28,79.0,76.99
Spd_RF2_250_321_4107.txt,43.0,5.05,74.0,81.76,72.0,76.92
Spd_RF2_250_321_4115.txt,43.0,7.45,74.0,82.66,80.0,76.9
Spd_RF2_250_321_4123.txt,44.0,3.03,61.0,82.44,76.0,77.22
Spd_RF2_250_345_4131.txt,32.0,60.26,71.0,84.19,71.0,77.37
Spd_RF2_250_345_4139.txt,37.0,8.85,,135.38,74.0,77.73
Spd_RF2_250_345_4147.txt,36.0,12.85,64.0,83.99,71.0,77.67
Spd_RF2_250_345_4155.txt,34.0,60.25,71.0,84.06,73.0,78.09
Spd_RF2_250_345_4163.txt,35.0,3.26,,135.94,74.0,77.8
Spd_RF2_250_369_4171.txt,27.0,31.79,66.0,86.43,75.0,79.6
Spd_RF2_250_369_4179.txt,26.0,60.28,70.0,86.1,78.0,78.58
Spd_RF2_250_369_4187.txt,25.0,47.89,66.0,86.3,80.0,78.82
Spd_RF2_250_369_4195.txt,28.0,15.21,60.0,86.7,68.0,78.53
Spd_RF2_250_369_4203.txt,28.0,60.24,69.0,86.36,71.0,78.63
Spd_RF2_300_326_4211.txt,81.0,1.41,83.0,87.88,94.0,83.92
Spd_RF2_300_326_4219.txt,80.0,1.69,83.0,87.73,96.0,84.41
Spd_RF2_300_326_4227.txt,81.0,2.33,82.0,87.55,93.0,83.76
Spd_RF2_300_326_4235.txt,81.0,1.11,81.0,68.44,96.0,83.8
Spd_RF2_300_326_4243.txt,82.0,1.26,82.0,83.71,97.0,84.22
Spd_RF2_300_353_4251.txt,67.0,0.93,94.0,90.14,93.0,84.77
Spd_RF2_300_353_4259.txt,67.0,1.01,68.0,89.69,92.0,85.05
